|||||||DEATHS|OCCURRING IN-|||||
REGISTRATION AREA.|All deaths.|Jan.|Feb.|Mar.|Apr.|May.|June.|July.|Aug.|Sept.|Oct.|Nov.|Dec.
REGISTRATION CITIES-Continued. PENNSYLVANIA-continued.|||||||||||||
Connellsville|145|15|12|17|12|12|11|12|6|11|14|9|14
Dickson City|95 II|18|6|4|6|5|5|10|14|8|4|8|7
Donora.|110 Il|8|10|11|10|8|11|7|13|7|7|9|9
Du Bois Dunmore|178 Il|20|14|11|13|18|19|18|14|14|10|14|13
|267 Il|29|24|20|17|15|24|23|26|21|25|21|22
Duquesne Easton|213|18|11|18|11|12|10|28|27|22|21|21|14
Erie.|493 Il|46|42|48|40|49|35|35|54|34|33|37|40
Farrell|1,190 Il|101|105|109|96|86|105|92|97|80|89|121|109
Greensburg|141 Il|14|17|17|7|11|10|8|14|10|10|11|12
|278 Il|27|21|24|20|37|17|14|24|30|24|26|14
Harrisburg.|||||||||||||
Hazleton|1,047|91|85|127|98|87|86|68|77|69|93|79|87
Homestead|479 il|51|37|43|39|39|36|37|43|44|34|27|49
Jeannette Johnstown|162 Il|13|19|15|12|15|11|18|14|8|16|9|12
|88 Il|10|12|8|5|8|8|5|9|2|7|8|6
Lancaster|1,002 Il|100|96|120|94|90|62|66|63|78|75|80|78
Lebanon||||||||||||57|67
McKees Rocks|777|72|70|80|64|77|61|62|49|55|63||
McKeesport|381 Il|33|43|59|27|35|19|24|27|20|27|33|34
Mahanoy City|167 II|15|20|19|9|17|10|10|9|7|18|13|20
|634 II|54|67|74|59|49|45|55|47|38|48|42|56
Meadville Monessen|172 II|24|15|13|13|6|12|20|14|11|17|14|13
Mount Carmel|213|19|21|16|23|18|11|18|11|13|23|19|21
Nanticoke New Castle|130 Il|11|8|14|15|10|6|9.1|4|7|12|19|15
|199 Il|23|24|18|14|13|18|12|22|8|15|15|17
New Kensington|298 Il|25|24|31|25|21|23|21|19|23|25|28|33
Norristown*|575 Il|47|44|62|52|47|37|48|50|50|53|44|41
North Braddock|||||||||||||
Oil City|178|15|21|21|17|17|15|8|10|9|13|14|18
Old Forge|609|II 71|54|69|51|58|45|47|44|30|41|48|51
|124|II 1|14|13|14|19|9|5|9|10|9|7|14
Olyphant Philadelphia|251 II|12|27|24|19|19|16|19|30|19|20|22|24
Phoenixville|128|II 7|10|13|12|13|6|21|11|5|5|13|12
Pittsburgh Pittston|98|10|7|7|11|10|8|10|4|7|7|10|7
|23,697|II 2,391|2,329|2,451|2.092|1.981|1,798|1,601|1,702|1,593|1,809|1,844|2,106
Plymouth|141|II 17|18|13|9|16|2|19|8|3|13|12|11
Pottstown|8,499|II 829|806|848|779|747|575|652|621|558|637|725|722
Pottsville.|281|Il 34|26|26|24|18|12|21|19|32|27|21|21
Punxsutawney|||||||||||||
Reading|160|13|16|10|8|10|18|9|13|17|12|16|18
|274|II 21|31|30|25|24|20|20|19|19|17|20|28
Scranton Shamokin|392|II 25|35|36|36|40|25|38|25|27|25|46|34
Sharon|160|Il 20|16|20|10|9|5|9|17|13|14|10|17
|||||||||||||
Shenandosh|1,437|Il 135|127|167|133|107|122|104|96|114|114|101|117
Steelton||II|||||||||||
Sunbury|1,949|Il 173|176|184|167|162|151|150|161|156|152|156|161
Swissvale|224|Il 18|18|18|24|17|17|18|20|16|24|17|17
Tamagna|247|Il 24|31|27|14|26|13|13|24|25|24|12|14
Uniontown|323|Il 21|18|33|32|21|14|I 25|31|46|20|26|36
Warren|121|Il 17|5|14|6|13|9|8|6|6|11|13|13
Washington|199|23|15|24|17|22|12|13|14|13|14|18|14
West Chester|128|II 12|16|19|9|9|6|5|9|6|10|10|12
Wilkes-Barre|127|Il 10|14|16|10|6|15|14|6|10|13|7|6
Wilkinsburg|303|II 34|30|30|23|23|32|30|19|17|21|18|26
Willamsport||11||14|13|19|15|9|17|16|14|26|14
Woodlawn|184 366|33|16 26|35|39|29|20|32|34|31|34|24|29
York|324|Il 32|26|34|22|22|25|24|36|24|23|26|30
RHODE ISLAND.|1,122|Il 93|93|94|105|105|80|96|91|87|102|74|102
Bristol town|314|29|15|49|27|32|20|18|16|23|28|30|27
Central Falls|567|II 40|57|58|50|58|I 40|46|39|46|46|34|53
Cranston (exclusive of) State institutions|100 588|6 62|11 73|8 59|8 59|8 49|7 41|12 46|4 37|9 28|8 40|13 48|6 46
Cumberland town||||||||||||7|10
East Providence town|142|17|10|19|15|9|10|8|18|9|10||
Newport|210|II 15|21|25|17|14|14|13|22|21|20|10|18
Pawtucket|264|Il 24|19|29|28|19|22|18|22|24|26|18|15
|313|II 30|33|27|34|27|19|22|23|27|25|21|25
Providence.|||||||||||||
Warwick town|134|12|9|8|7|9|10|20|16|16|5|12|10
West Warwick town|252|II 27|31|20|16|19|19|16|24|15|15|22|28
Woonsocket|334|32|28|35|34|18|23|29|24|32|30 73|26 47|23 57
SOUTH CAROLINA.|785|86 307|56 271|76 315|72 277|73 265|54 256|75 203|52 252|64 233|255|235|316
|3,185 183|12|21|14|19|17|15|15|22||12|15|14
Anderson|152|18|21|11|13|13|9|9|17|11|10|11|'9
Charleston|515|II 41|42|51|44|38|49|34|55|39|28|46|48
Columbia *|||||||||||||
Florence|||||||||||||
Greenville|245|17|11|27|22|18|23|21|17|21|20|19|29
Spartanburg|1,457|119|109|124|119|139|123|113|119|134|118|129|111
|1,257|88|75|87|130|103|130 21|102 24|133 23|93 31|105 20|97 15|114 19
|252|17|19|27|15|21|||||||
|326|27|27|35|21|38|28|28|28|25|23|23|23
|358|""" 32"|31|29|26|36|34|31|28|24|34|27|26

|All deaths.||||||DEATHS|OCCURRING|IN-||||
REGISTRATION AREA.||Jan.|Feb.|Mar.|Apr.|May.|June.|July.|Aug.|Sept.|Oct.|Nov.|Dec.
REGISTRATION CITIES-Continued. TENNESSEE. Chattanooga|923|92|73|76|73|80|83|74|71|70|73|80|78
Jackson|299 Il|18|25|23|22|27|22|31|17|20|29|31|34
Johnson City * Knoxville|314 Il|21|32|25|28|35|26|25|25|21|24|21 I|31
Memphis|1,192 Il|97|105|83|99|126|129|111|78|83|99|100|82
Nashville|2,876 Il|240|220|232|214|249|244|253|214|236|273|228|273
|1,978 II|185|161|179|152|152|157|179|165|135|180|163|170
TEXAS.1 Beaumont Dallas|455|44|31|39|46|48|44|35|28|36|50|31|23
El Paso|1,985 Il|177|150|156|153|159|149|181|178|136|178|177|191
Galveston|2,086 Il|189|168|214|220|224|187|206|176|112|123|118|149
Houston|656 Il|62|47|57|56|68|49|60|50|48|42|56 I|61
San Antonio|1,851 II|145|147|141|169|152|159|162|164|134|185|143|150
UTAH.|2,678|Il 228|223|251|288|237|190|211|202|223|178|218|229
