||||||MONTH.|||||||
January.|February.|March.|April.|May.|June.|July.|August.|September.|October|November|December.|Unknown.|
25|29|29|38|21|30|22|38|27|at|39|21||225
139|123|174|142|149|133|166|171|133|131|148|163||800
45|45|53|43|48|as|44|e|48|52|61|43||337
aa|67|65|49|57|35|60|ml|is|51|58|88||208
88|75|75|59|55|54|63|e|BE|71|58|TO||209
7|$|35|17|12|12|P|14|15|10|17|4||230
200|183|182|154|185|144|181|197|198|169|158|144||201
22|30|21|15|20|11|24|26|16|11|10|19||222
16|20|22|25|15|16|11|15|is|18|IT|16||353
135|124|135|133|10s|33|160|120|115|99|131|134||324
160|162|172|199|127|126|164|IN|105|91|138|138||335
27|as|28|9|sa|34|21|21|34|23|30|29||225
76|NO|in|88|97|88|98|114|117|93|III|117||227
11|13|8|13|15|$|14|12|5|7|4|11||225
10|21|18|17|15|18|13|17|15|III|14|57||339
11|6|10|5|14|I|7|6|9|7|E|9||330
14|18|17|13|13|8|9|12|30|e|11|30||an
12|,|12|11|9|$|13|9|9|8|E|12||332
38|20|33|#|IN|20|at|as|25|2|28|$2|2|m
10|8|16|11|si|7|9|16|18|30|E|5||334
|||||||||||||
567|561|580|549|$|474|582|ste|422|482|500|544||336
10|14|14|10|#|13|7|8|11|33|9|12||336
83|68|104|a|IS|66|120|87|34|62|68|22||EST
36|38|32|as|32|25|SID|46|31|38|26|25||338
13|17|11|34|12|4|9|I|12|30|6|9||239
24|18|29|32|19|22|26|24|so|15|35|22||240
13|17|35|12|12|$|15|9|$|12|15|13||341
12|22|29|35|34|12|19|20|23|11|12|14||342
in|22|8|12|11|II|$|28|13|19|10|11||343
60|57|54|52|48|43|83|48|34|sa|as|72||244
53|46|43|40|28|42|45|41|43|42|42|as||845
44|40|30|40|35|34|47|IN|47|30|as|38|2|345
124|in|302|104|MI|133|158|154|112|120|100|110|1|342
38|34|41|37|38|50|50|52|57|57|33|so||348
35|35|35|19|22|13|25|22|15|14|12|17||349
38|25|30|17|17|29|38|a|21|12|21|18||350
21|25|14|15|is|9|10|18|20|19|25|20||351
37|33|43|e|32|as|53|58|13|40|36|40||363
192|197|197|197|189|358|207|200|177|179|163|154||ass
54|97|209|83|76|77|120|96|64|54|TS|55||354
77|96|as|56|53|a|106|8|25|78|74|63||ass
|||||||||||||
is|24|72|54|07|54|60|72|42|55|50|sa|1|356
65|35|135|a|74|75|120|89|85|E|90|92||357
74|70|77|88|#7|#2|M|65|ea|57|FI|65|1|358
33|43|38|33|25|25|as|IS|20|.|33|25||are
22|72|71|62|73|53|73|67|58|62|64|es||360
35|45|50|at|39|41|41|#|47|38|23|47|a|2801
20|21|33|21|17|20|20|33|20|19|24|II||are
4|55|as|su|su|47|43|$8|e|do|a|56||363
28|26|18|20|17|15|35|28|22|15|14|37||364
20|30|32|20|3|20|22|30|32|25|38|18||368
13|16|18|9|14|10|FIRST|II|20|16|19|18||366
as|n|14|7|13|19|10|7|11|8|4|11||367
23|32|15|13|15|13|16|34|25|16|13|15||368
27|37|27|28|16|15|28|25|19|26|31|24||300
10|10|12|8|10|6|9|7|6|2|2|6||370
26|mi|=|11|16|14|10|29|18|18|22|14||371
28|12|27|26|11|13|15|29|27|16|17|17||202
19|a|32|14|R|25|27|28|22|20|II|17||273
$|38|32|as|30|16|42|44|31|28|31|32||304
40|5|€|35|24|a|40|41|26|23|28|e||235
26|10|13|16|11|15|14|19|15|11|7|8||506
28|27|25|19|18|15|26|25|a|22|24|22||177
a|If|36|81|21|21|18|17|34|22|an|as|1|278
24|34|28|19|26|25|19|33|at|21|28|12||379
24|33|(I)|as|14|22|15|30|19|IF|32|21||380
26|33|26|II|16|24|27|29|R|at|19|2||381
=|24|29|14|20|13|as|23|18|22|27|17||SRS
28|39|26|=|as|28|34|37|as|32|26|an||283
9|14|19|10|12|6|1à|12|16|18|13|24||184
9|12|10|14|4|&|10|23|9|9|5|T||388
37|16|29|19|13|15|17|29|20|12|17|20||use
13|se|20|13|T|18|18|15|13|18|14|19|1|382
19|18|as|26|29|10|14|25|18|7|18|15||355

