REGISTRATION AREA.|All deaths.||||||DEATHS|OCCURRING IN-|||||
||Jan.|Feb.|Mar.|Apr.|May.|June.|July|Aug.|Sept.|Oct.|Nov.|Dec.
REGISTRATION CITIES-Continued TENNESSEE. Chattanooga|923|92|73|76|73|80|83|74|71|70|73|80|78
Jackson|299|18|25|23|22|27|22|31|17|20|29|31|34
Johnson City *|314|21|32|25|28|35|26|25|25|21|24|21|31
Knoxville|1,192|97|105|83|99|126|129|111|78|83|99|100|82
Memphis Nashville|2,876|240|220|232|214|249|244|253|214|236|273|228|273
|1,978 II|185|161|179|152|152|157|179|165|135|180|163|170
TEXAS.1|||||||||||||
Beaumont|455|44|31|39|46|48|44|35|28|36|50|31|23
Dallas|1,985|177|150|156|153|159|149|181|178|136|178|177|191
El Paso|2,086 Il|189|168|214|220|224|187|206|176|112|123|118|149
Galveston|656|62|47|57|56|68|49|60|50|48|42|56|61
Houston|1,851|145|147|141|169|152|159|162|164|134|185|143|150
San Antonio|2,678 Il|228|223|251|288|237|190|211|202|223|178|218|229
UTAH. Ogden|400|34|34|45|41|34|27|34|28|39|30|21|33
Provo.|164|26|12|18|14|13|6|11|10|7|14|15|18
Salt Lake City|1,503|155|122|111|127|127|113|146|102|119|120|113|148
VERMONT,|||||||||||||
|152|10|16|11|15|11|12|18|10|15|15|12|12
Barre|390 II|32|28|40|38|27|32|32|83|30|40|34|24
Burlington Rutland|202 Il|11|22|19|23|13|19|15|16|14|19|14|17
VIRGINIA.|254|25|20|36|18|14|18|16|20|22|25|17|23
Alexandria|144|11|12|17|11|6|16|9|10|14|15|9|14
Charlottesville|325 Il|37|16|31|26|30|30|29|27|24|28|28|19
Danville|441 Il|46|34|44|31|36|33|34|30|36|48|29|40
Lynchburg|400|37|31|29|37|47|30|26|30|37|29|27|40
Newport News Norfolk|1,565|141|155|118|114|125|127|135|135|133|122|123|137
|576|46|43|51|55|45|56|49|44|48|44|42|53
Petersburg Portsmouth|728|55|65|59|60|62|58|70|64|60|52|60|63
Richmond|2,567|258|200|216|206|211|242|223|172|187|213|218|221
Roanoke|707|78|48|64|55|50|64|73|55|47|54|53|66
Staunton|251 Il|24|19|26|23|21|24|28|17|16|14 1|22|17
WASHINGTON.|148|12|11|14|11|12|8|10|7|12|16|16|14
Aberdeen|266|24|27|13|26|23|32|17|19|20|23|21|21
Bellingham|255 Il|20|27|26|24|18|16|17|13|24|24|24|22
Everett|75 Il|9|6|8|9|10|1|7|5|1|5|6|8
Hoquiam Seattle|2,839 Il|253|220|289|276|258|210|232|196|190|223|235|257
|1.315|123|107|111|123|110|106|78|97|98|120|122|120
Spokane Tacoma|1,051 Il|103|89|102|95|85|85|73|79|70|87|81|102
Vancouver|143 Il|10|13|12|16|10|9|13|12|17|6|12|13
Walla Walla|250 Il|22|25|19|20|29|16|10|23|17|28|22|24
Yakima|302 Il|28|23|26|19|19|21|34|27|19|30|27|29
WEST VIRGINIA.1|869|94|82|76|81|72|45|75|64|63|70|73|74
Wheeling|||||||||||||
WISCONSIN.|262|22|13|23|87|27|14|20|20|21|17|18|30
Appleton|197|20|11|24|19|16|12|12|14|29|15|10|15
Ashland|204 Il|23|21|16|15|15|12|21|14|12|15|21|19
Beloit|322 Il|36|24|35|27|18|20|26|29|24|22|25|36
Eau Claire*|306 Il|26|30|23|25|23|23|24|28|20|31|21|32
Fond du Lac|531|51|44|6G|48|34|39|41|46|44|43|38|37
Green Bay|197 If|26|21|16|11|14|19|18|15|16|14|9|18
Janesville|323|30|28|38|21|23|22|32|27|26|24|24|28
Kenosha|524 Il|55|44|57|41|50|37|34|37|37|37|53|42
La Crosse|426|31|34|50|29|40|33|34|42|26|39|35|33
Madison|226|23|11|22|19|24|18|18|21|20|22|12|16
Manitowoc|155|8|12|17|15|12|14|13|12|9|18|11|14
Marinette|4,587|438|393|443|396|410|316|351|352|377|373|376|362
Milwaukee|445|36|40|40|39|36|36|42|32|24|50|46|24
Oshkosh Racine|589|57|53|58|50|56|34|46|46|41|48|44|56
Sheboygan|344|36|38|27|28|23|20|30|16|28|28|36|34
Stevens Point|139|6|11|1]|11|12|6|9|18|13|11|21|10
|446|30|37|46|48|27|29|32|29|40|50|43|35
Superior Waukesha|140|10|17|12|11|8|14|5|8|11|15|12|17
Wausau|264|31|14|26|30|16|21|27|22|16|26|21|14
West Allis|127|I 8|12|8|10|9|6|11|14|13|14|13|9
||}|||||||||||

