|||||||DEATHS|OCCURRING|IN-||||
REGISTRATION AREA.|All deaths.|Jan.|Feb.|Mar.|Apr.|May.|June.|July.|Aug.|Sept.|Oct.|Nov.|Dec.
REGISTRATION CITIES-Continued.|||||||||||||
PENNSYLVANIA-continued.|||||||||||||
Connellsville|145|15|12|17|12|12|11|12|6|11|14|9|14
Dickson City|95|18|6|4|6|5|5|10|14|8|4|8|7
Donora|110|8|10|11|10|8|11|7|13|7|7|9|9
Du Bois|178|20|14|11|13|18|19|18|14|14|10|14|13
Dunmore|267|29|24|20|17|15|24|23|26|21|25|21|22
Duquesne|213|18|11|18|11|12|10|28|27|22|21|21|14
Easton|493|46|42|48|40|49|35|35|54|34|33|37|40
Erie.|1,190|101|105|109|96|86|105|92|97|80|89|121|109
Farrell|141|14|17|17|7|11|10|8|14|10|10|11|12
Greensburg|278|27|21|24|20|37|17|14|24|30|24|26|14
Harrisburg|1,047|91|85|127|98|87|86|68|77|69|93|79|87
Hazleton|479|51|37|43|39|39|36|37|43|44|34|27|49
Homestead|162|13|19|15|12|15|11|18|14|8|16|9|12
Jeannette|88|10|12|8|5|8|8|5|9|2|7|8|6
Johnstown|1,002|100|96|120|94|90|62|66|63|78|75|80|78
Lancaster|777|72|70|80|64|77|61|62|49|55|63|57|67
Lebanon|381|33|43|59|27|35|19|24|27|20|27|33|34
McKees Rocks|167|15|20|19|9|17|10|10|9|7|18|13|20
McKeesport.|634|54|67|74|59|49|45|55|47|38|48|42|56
Mahanoy City|172|24|15|13|13|6|12|20|14|11|17|14|13
Meadville|213|19|21|16|23|18|11|18|11|13|23|19|21
Monessen|130|11|8|14|15|10|6|9.|4|7|12|19|15
Mount Carmel|199|23|24|18|14|13|18|12|22|8|15|15|17
Nanticoke|298|25|24|31|25|21|23|21|19|23|25|28|33
New Castle|575|47|44|62|52|47|37|48|50|50|53|44|41
New Kensington|178|15|21|21|17|17|15|8|10|9|13|14|18
Norristown*|609|71|54|69|51|58|45|47|44|30|41|48|51
North Braddock|124|1|14|13|14|19|9|5|9|10|9|7|14
Oil City|251|12|27|24|19|19|16|19|30|19|20|22|24
Old Forge|128|7|10|13|12|13|6|21|11|5|5|13|12
Olyphant|98|10|7|7|11|10|8|10|4|7|7|10|7
Philadelphia|23,697|2,391|2,329|2,451|2,092|1,981|1,798|1,601|1,702|1,593|1,809|1,844|2,106
Phoenixville|141|17|18|13|9|16|2|19|8|3|13|12|11
Pittsburgh|8,499|829|806|848|779|747|575|652|621|558|637|725|722
Pittston|281|34|26|26|24|18|12|21|19|32|27|21|21
Plymouth|160|13|16|10|8|10|18|9|13|17|12|16|18
Pottstown|274|21|31|30|25|24|20|20|19|19|17|20|28
Pottsville.|392|25|35|36|36|40|25|38|25|27|25|46|34
Punxsutawney|160|20|16|20|10|9|5|9|17|13|14|10|17
Reading.|1,437|135|127|167|133|107|122|104|96|114|114|101|117
|||||||||||||
Scranton|1,949|173|176|184|167|162|151|150|161|156|152|156|161
Shamokin|224|18|18|18|24|17|17|18|20|16|24|17|17
Sharon|247|24|31|27|14|26|13|13|24|25|24|12|14
Shenandoah|323|21|18|33|32|21|14|25|31|46|20|26|36
Steelton|121|17|5|14|6|13|9|8|6|6|11|13|13
Sunbury|199|23|15|24|17|22|12|13|14|13|14|18|14
Swissvale|123|12|16|19|9|9|6|5|9|6|10|10|12
Tamaqua|127|10|14|16|10|6|15|14|6|10|13|7|6
Uniontown|303|34|30|30|23|23|32|30|19|17|21|18|26
Warren|184|11|16|14|13|19|15|9|17|16|14|26|14
Washington|366|33|26|35|39|29|20|32|34|31|34|24|29
West Chester|324|32|26|34|22|22|25|24|36|24|23|26|30
Wilkes-Barre|1,122|93|93|94|105|105|80|96|91|87|102|74|102
Wilkinsburg|314|29|15|49|27|32|20|18|16|23|28|30|27
Willamsport|567|40|57|58|50|58|40|46|39|46|46|34|53
Woodlawn|100|6|11|8|8|8|7|12|4|9|8|13|6
York|588|62|73|59|59|49|41|46|37|28|40|48|46
RHODE ISLAND.|||||||||||||
Bristol town|142|17|10|19|15|9|10|8|18|9|10|7|10
Central Falls|210|15|21|25|17|14|14|13|22|21|20|10|18
Cranston (exclusive of)|264|24|19|29|28|19|22|18|22|24|26|18|15
State institutions|313|30|33|27|34|27|19|22|23|27|25|21|25
Cumberland town|134|12|9|8|7|9|10|20|16|16|5|12|10
East Providence town|252|27|31|20|16|19|19|16|24|15|15|22|28
Newport|334|32|28|35|34|18|23|29|24|32|30|26|23
Pawtucket|785|86|56|76|72|73|54|75|52|64|73|47|57
Providence.|3,185|307|271|315|277|265|256|203|252|233|255|235|316
Warwick town|183|12|21|14|19|17|15|15|22|7|12|15|14
West Warwick town|152|18|21|11|13|13|9|9|17|11|10|11|'9
Woonsocket|515|41|42|51|44|38|49|34|55|39|28|46|48
SOUTH CAROLINA.|||||||||||||
Anderson|245|17|11|27|22|18|23|21|17|21|20|19|29
Charleston|1,457|119|109|124|119|139|123|113|119|134|118|129|111
Columbia *|1,257|88|75|87|130|103|130|102|133|93|105|97|114
Florence|252|17|19|27|15|21|21|24|23|31|20|15|19
Greenville|326|27|27|35|21|38|28|28|28|25|23|23|23
Spartanburg|358|32|31|29|26|36|34|31|28|24|34|27|26

REGISTRATION AREA.|All deaths.|||||DEATHS||OCCURRING IN-|||||
