REGISTRATION AREA.|All deaths.|||||DEATHS||OCCURRING IN-|||||
||Jan.|Feb.|Mar.|Apr.|May.|June.|July.|Aug.|Sept.|Oct.|Nov.|Dec.
REGISTRATION CITIES-Continued|||||||||||||
TENNESSEE.|||||||||||||
Chattanooga|923|92|73|76|73|80|83||||||
Jackson|299|18|25|23||||74|71|70|73|80|78
Johnson City *|314|21|||22|27|22|31|17|20|29|31|34
Knoxville|||32|25|28|35|26|25|25|21|24|21|31
Memphis|1,192|97|105|83|99|126|129|111|78|83|99|100|82
|2,876|240|220|232|214|249|244||||||
Nashville||185||||||253|214|236|273|228|273
|1,978||161|179|152|152|157|179|165|135|180|163|170
TEXAS.1|||||||||||||
|||||||||||||
Beaumont|455|44|31|39|46|48|||||||
Dallas|1, 985|177|150||||44|35|28|36|50|31|23
El Paso||189||156|153|159|149|181|178|136|178|177|191
Galveston|2,086||168|214|220|224|187|206|176|112|123|118|149
Houston|656|62|47|57|56|68|49|60|50|48|42|56|61
|,851|145|147|141|169|152|159|162|164|134|||
San Antonio|,678|228|||||||||185|143|150
|||223|251|288|237|190|211|202|223|178|218|229
UTAH.|||||||||||||
|||||||||||||
Ogden|400|34|34|45|||||||||
Provo|164|26|12||41|34|27|34|28|39|30|21|33
Salt Lake City|503|155|122|18|14|13|6|11|10|7|14|15|18
||||111|127|127|113|146|102|119|120|113|148
VERMONT.|||||||||||||
Barre|152|10|||||||||||
Burlington|390|32|16 28|11 40|15|11|12|13|10|15|15|12|12
Rutland|202|11|22|19|38|27|32|32|33|30|40|34|24
|||||23|13|19|15|16|14|19|14|17
VIRGINIA.|||||||||||||
Alexandria|254|25|20|36|||||||||
Charlottesville|144|11|12||18|14|18|16|20|22|25|17|23
Danville|325|37|16|17|11|6|16|9|10|14|15|9|14
Lynchburg|441|46|34|31 44|26|30|30|29|27|24|28|28|19
Newport News|400|37|31|29|31 37|36 47|33|34|30|36|48|29|40
Norfolk|1,565|141|155|118|114|125|30|26|30|37|29|27|40
|||||||127|135|135|133|122|123|137
Petersburg|576|46|43|51|55||||||||
Portsmouth|728|55|65|||45|56|49|44|48|44|42|53
Richmond|2,567|258||59|60|62|58|70|64|60|52|60|63
Roanoke|707||200 78 48|216|206|211|242|223|172|187|213|218|221
Staunton|251||24|64|55|50|64|73|55|47|54|53|66
||||19|26 23|21|24|28|17|16|14|22|
|||||||||||||17
WASHINGTON.|||||||||||||
Aberdeen|143||12||||||||||
Bellingham|266||24|11|14 11|12||8 10||7 12|16|16|14
Everett|255||20|27 27|13|26 23||32 17|19|20|23|21|21
Hoquiam||75|9|6|26|24|18|16 17|13|24|24|24|22
Seattle|2,839||253|220|8 289|9|10|1|7|5|1|5|6 8
|||||276|258|210|232|196|190|223|235|
Spokane|||||||||||||257
Tacoma|1,315||123|107|111 123|110||106|78|97|98 120|122|
Vancouver|1,051|143|103 10|89|102|95|85|85|73|79|70|87 81|120 102
Walla Walla||250|22|13|12|16|10|9|13|12|17|6|12 13
Yakima||302|28|25|19|20|29|16|10|23|17|23|22 24
||||23|26|19|19|21|||||
WEST VIRGINIA.|||||||||34|27|19|30|27 29
Wheeling||869|94|82|76|81|72||||||
||||||||45|75|64|63|70|73 74
WISCONSIN.|||||||||||||
Appleton||262|22||||||||||
Ashland||197|20|13|23|37|27|14|20|20|21|17|18
Beloit||204||11|24|19|16|12|12|14|29|15|30
Eau Claire*||322|23|21|16|15|15|12|21|14|12|15|10 15
Fond du Lac|||36|24|35|27|18|20|26|29|24||21 19
||306|26|30|23|25|23|23|24|28|20|22|25 36
Green Bay||531||||||||||31|21 32
Janesville|||51|44|6G|48|34||||||
||197|26|21||||39|41|46|44|43|38 37
Kenosha||323|30||16|11|14|19|18|15|16|14|9
La Crosse||||28|38|21|23|22|32||||18
||524|55|44|57|41|50|37|34|27 37|26|24|24 28
Madison||426|31||||||||37|37|53 42
Manitowoc||226||34|50|29|40|33|34|42|26|39|
Marinette||155|23|11|22|19|24|18|18|21|20|22|35 33
Milwaukee|||8|12|17|15|12|14|13|12|||12 16
|4,|,587|438|393|||||||9|18|11 14
|||||443|396|410|316|351|352|377|373|
Oshkosh|||||||||||||376 362
Racine||445 589|36|40|40|39|36|36|42|32|24||
Sheboygan|||57|53|58|50|56|34|46|46|41|50|46 24
Stevens Point||344|36|38|27|28|23|20|30|||48|44 56
||139|6|11|11|11|12|6|9|16 18|28|28|36 34
Superior|||||||||||13|11|21 10
Waukesha||446 140|30|37|46|48|27|29|32|29|||
Wausau|||10|17|12|11|8|14|5||40|50|43 35
West Allis||264|31|14|26|30|16|21|27|8 22|11|15|12 17
||127|8|12|8|10|9|6|11|14|16|26|21 14
|||||||||||13|14|13 9
|||||||||||||

