,Alldeaths.,,,,,,DEATHS,OCCURRING,IN-,,,,
REGISTRATIONAREA.,,Jan.,Feb.,Mar.,Apr.,May.,June.,July.,Aug.,Sept.,Oct.,Nov.,Dec.
REGISTRATIONCITIES-Continued.TENNESSEE.Chattanooga,923,92,73,76,73,80,83,74,71,70,73,80,78
Jackson,299Il,18,25,23,22,27,22,31,17,20,29,31,34
JohnsonCity*Knoxville,314Il,21,32,25,28,35,26,25,25,21,24,21I,31
Memphis,"1,192Il",97,105,83,99,126,129,111,78,83,99,100,82
Nashville,"2,876Il",240,220,232,214,249,244,253,214,236,273,228,273
,"1,978II",185,161,179,152,152,157,179,165,135,180,163,170
TEXAS.1BeaumontDallas,455,44,31,39,46,48,44,35,28,36,50,31,23
ElPaso,"1,985Il",177,150,156,153,159,149,181,178,136,178,177,191
Galveston,"2,086Il",189,168,214,220,224,187,206,176,112,123,118,149
Houston,656Il,62,47,57,56,68,49,60,50,48,42,56I,61
SanAntonio,"1,851II",145,147,141,169,152,159,162,164,134,185,143,150
UTAH.,"2,678",Il228,223,251,288,237,190,211,202,223,178,218,229
OgdenProvo.,400,34,34,45,41,34,27,34,28,39,30,21,33
Salt LakeCity,164Il,26,12,18,14,13,6,11,10,7,14,15,18
,"1,503Il",155,122,111,127,127,113,146,102,119,120,113,148
VERMONT.Barre,,,,,,,,,,,,,
Burlington,152,10,16,11,15,11,12,13,10,15,15,12,12
Rutland,390Il,32,28,40,38,27,32,32,33,30,40,34,24
,202Il,11,22I,19,23,13,19,15,16,14,19,14,17
VIRGINIA.AlexandriaCharlottesville,254,25,20,36,18,14,18,16,20,22,25,17,23
Danville,144Il,11,12,17,11,6,16,9,10,14,15,9,14
Lynchburg.,325Il,37,16,31,26,30,30,29,27,24,28,28,19
NewportNews.,441Il,46,34,44,31,36,33,34,30,36,48,29,40
Norfolk,400Il,37,31I,29,37,47,30,26,30,37,29,27,40
Petersburg.,"1,565",Il141,155I,118,114,125,127,135,135,133,122,123,137
Portsmouth,576,46,43,51,55,45,56,49,44,48,44,42,53
RichmondRoanoke,728Il,55,65,59,60,62,58,70,64,60,52,60,63
Staunton,"2,567",258,200,216,206,211,242,223,172,187,213,218,221
,707,78,48,I64,55,50,64,73,55,47,54,53,66
WASHINGTON.,251Il,24,19,26,23,21,24,28,17,16,14,22,17
Aberdeen,,,,,,,,,,,,,
BellinghamEverett,143,12,11,14,11,12,8,10,7,12,16,16,14
Hoquiam,266Il,24,27,13,26,23,32,17,19,20,23,21,21
Seattle,255Il,20,27,26,24,18,16,17,13,24,24,24,22
,75Il,9,6,8,9,10,1,7,5,1,5,6,8
SpokaneTacoma,"2,889",253,220,289,276,258,210,232,196,190,223,235,257
Vancouver,"1,315",123,107,111,123,110,106,78,97,98,120,122,120
WallaWallsYakima,"1,051Il",103,89,102,95,85,85,73,79,70,87,81,102
,143Il,10,13,12,16,10,9,13,12,17,6,12,13
WESTVIRGINIA.1,250Il,22,25,19,20,29,16,10,23,17,23,22,24
,302,Il28,23,26,19,19,21,34,27,19,30,27,29
Wheeling,,,,,,,,,,,,,
WISCONSIN.,869,94,82,76,81,72,45,75,64,63,70,73,74
Appleton,,,,,,,,,,,,,
Ashland,,,,,,,,,,,,,
Beloit,262,22,13,23,37,27,14,20,20,21,17,18,30
EauClaire*,197,Il20,11,24,19,16,12,12,14,29,15,10,15
FondduLac,204,II23,21,16,15,15,12,21,14,12,15,21,19
GreenBay,322,II36,24,35,27,18,20,26,29,24,22,25,36
Janesville,306,Il26,30,23,25,23,23,24,28,20,31,21,32
Kenosha,,,,,,,,,,,,,
LaCrosse,531,51,44,6G,48,34,39,41,46,44,43,38,37
,197,Il26,21,16,11,14,19,18,15,16,14,9,18
Madison,323,Il30,28,38,21,23,22,32,27,26,24,24,28
ManitowocMarinette,524,Il55,44,57,41,50,37,34,37,37,37,53,42
Milwaukee,426,31,34,50,29,40,33,34,42,26,39,35,33
Oshkosh,226,Il23,11,22,19,24,18,18,21,20,22,12,16
Racine,155,Il8,12,17,15,12,14,13,12,9,18,11,14
Sheboygan,"4,587",|438,393,443,396,410,316,351,352,377,373,376,362
StevensPoint,445,36,40,40,39,36,36,42,32,24,50,46,24
Superior,589,57,53,58,50,56,34,46,46,41,48,44,56
Waukesha,344,36,38,27,28,23,20,30,16,28,28,36,I34
Wausau.WestAllis,139,Il6,11,1],11,12,6,9,18,13,11,21,I10
,446,30,37,46,48,27,29,32,29,40,50,43,35
1Nonreg,140,10,17,12,11,8,14,5,8,11,15,12,17
,264,31,14,26,30,16,21,27,22,16,26,21,14
,127,I8,12,8,10,9,6,11,14,13,14,13,9
,,I,,,,,,,,,,,

